Name;FAT16, dosfs, FAT32, vfat;NTFS;Ext2;Ext3;XFS;ReiserFS;UFS;UFS2;HFS;HFS+;MINIXfs;BFS;ISO 9660;UDF;NFS;SMBFS;RAM disk, tmpfs;ZFS;Other special file systems
Linux;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;9P, FUSE, sysfs, configfs, Reiser4, JFS, Btrfs, UnionFS, Ext4
FreeBSD;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;FUSE, nullfs, UnionFS
NetBSD;Yes;Yes;Yes;;No;No;Yes;Yes;;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;PUFFS, LFS, EFS
OpenBSD;Yes;Yes;Yes;;No;No;Yes;Yes;No;No;No;No;Yes;Yes;Yes;Yes;Yes;No;AFS
DragonFly BSD;Yes;Yes;Yes;No;No;No;Yes;No;No;No;No;No;Yes;Yes;Yes;Yes;Yes;No;HAMMER, nullfs, PUFFS
OpenSolaris, illumos;Yes;Yes;No;No;No;No;Yes;;No;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;SMB (native), QFS
Darwin, OpenDarwin;Yes;Yes;;;;;Yes;;Yes;Yes;;;Yes;Yes;Yes;Yes;;;
MINIX;Yes;No;Yes;;;;;;;;Yes;No;;;;;;;
FreeDOS;Yes;No;No;No;No;No;No;;;;No;No;Yes;;;;Yes;;
Genode;Yes;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;Extensible VFS layer
Haiku;Yes;Yes;Yes;Yes;;;;;;;;Yes;Yes;Yes;Yes;No;;;
KolibriOS;Yes;Yes;Yes;Yes;Yes;;;;;;;;Yes;;;;Yes;;
MenuetOS;Yes;;;;;;;;;;;;;;;;;;
GNU;Yes;;Yes;Yes;;;Yes;;;;;;Yes;;Yes;;Yes;No;
ReactOS;Yes;;Yes;No;No;No;No;;;;No;No;;;;;;;
L4, Fiasco, Pistachio;Yes;No;;;;;;;;;;;;;;;;;
Plan 9;Yes;;Yes;No;No;No;No;No;No;No;No;No;Yes;No;Yes;Yes;Yes;No;Fossil, Venti, most system services
AROS;Yes;;;;;;;;;;;;;;;;Yes;;SFS, AFFS
Syllable;Yes;Yes;Yes;Yes;;;;;;;;Yes;Yes;;;;Yes;;AFS
Inferno;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;;kfs, most system services
FreeRTOS;;;;;;;;;;;;;;;;;;No;
eCos;Yes;;Yes;;;;;;;;;;;;;;Yes;;MMFS, ROMfs, JFFS2, YAFFS
RTEMS;Yes;;;;;;;;;;;;;;Yes;;Yes;;TarFS, TFTP FS, IMFS, miniIMFS
HelenOS;Yes;No;Yes;Yes;No;No;No;No;No;No;Yes;No;Yes;Yes;No;No;Yes;;locfs, exFAT
E/OS;Yes;No;Yes;No;No;No;No;No;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;;
Name;FAT16, dosfs, FAT32, vfat;NTFS;Ext2;Ext3;XFS;ReiserFS;UFS;UFS2;HFS;HFS+;MINIXfs;BFS;ISO 9660;UDF;NFS;SMBFS;RAM disk, tmpfs;ZFS;Other special file systems
