Format;Languages
string ne string, or string NE string;ALGOL 68 – note: the operator "ne" is literally in bold type-font.
string /= string;ALGOL 68, Ada, Erlang, Fortran, Haskell
string <> string;BASIC, VB, VB .NET, Pascal, Object Pascal (Delphi), OCaml, PHP, Seed7, Standard ML, F#, COBOL, Cobra, Python 2 (deprecated)
string # string;BASIC (some implementations)
string ne string;Perl, Raku
(string<> string string);Scheme (SRFI 13)
(string/= string string);Common Lisp
(string/= string string);ISLISP
(not= string string);Clojure
string != string;C++ (STL), C#, Go, JavaScript (not similar), PHP (not similar), Python, Ruby, Rust, Swift, D, Mathematica
string !== string;JavaScript, PHP
string \= string;Rexx
string ¬= string;PL/I
test string != string, or [ string != string ];Bourne Shell
string -ne string, or -not [string]::Equals(string, string);Windows PowerShell
string ~= string;Lua, Smalltalk
string ≢ string;APL
string.ne(string);Rust
