File manager;Filesystem support;Attribute columns;File previews;Metadata indexing;Unicode support;Visual Themes
Altap Salamander;Yes;Yes;Yes;?;Partial;No
Commander One;Yes;Yes;Yes;?;Yes;Yes
CRAX Commander;Yes;Yes;Yes;?;Yes;Partial
Directory Opus;Yes;Yes;Yes;Partial;Yes;Yes
Dired;Yes;Yes;Yes;No;Yes;Yes
Documents by Readdle;;;;;;
Dolphin;Yes;No;Yes;Yes;Yes;?
Double Commander;Yes;Yes;Yes;No;Yes;Partial
emelFM2;?;?;?;?;;?
Far Manager;Yes;Yes;Yes;Partial;Yes;No
Files (Apple);;;Yes;;Yes;
Files by Google;;;;;;
Finder;Yes;No;Yes;Yes;Yes;Partial
ForkLift;Yes;Yes;Yes;No;Yes;Yes
Konqueror;Yes;No;Yes;Yes;Yes;Yes
Krusader;Yes;No;Yes;Partial;;?
Midnight Commander;Yes;No;No;No;Yes;No
GNOME Files (Nautilus);Yes;?;Yes;?;Yes;?
Nemo;?;?;?;?;?;?
Nomad.NET;Yes;Yes;Yes;?;Yes;Yes
Path Finder;?;?;?;?;;?
PCManFM;Yes;Yes;Yes;No;Yes;No
ROX-Filer;;No;Yes;No;;?
Total Commander;Yes;Yes;Yes;Yes In search tool;Yes;Partial
Windows Explorer;Yes;Yes;Yes;Yes;Yes;Partial
Xandros File Manager;?;?;?;?;?;?
Xfe;No;Partial;No;No;Partial;Partial
Xfile;?;?;?;?;?;?
Xfm;?;?;?;?;?;?
xplorer²;Yes;Yes;Yes;?;Yes;Yes
XYplorer;Yes;Yes;Yes;?;Yes;Yes
ZTreeWin;Yes;Yes;Yes;?;Yes;No
File manager;Filesystem support;Attribute columns;File previews;Metadata indexing;Unicode support;Visual Themes
