;MySQL;PostgreSQL;MSSQL;Oracle;SQLite;Firebird;Flat file
bbPress;Yes;No;No;No;No;No;No
Beehive Forum;Yes;No;No;No;No;No;No
Discourse;No;Yes;No;No;No;No;No
Discuz!;Yes;Yes;No;No;No;No;No
FluxBB;Yes;Yes;No;No;SQLite 2;No;No
FUDforum;Yes;Yes;Yes;Yes;Yes;Yes;No
Iko;Yes;No;No;No;No;No;No
Ikonboard;Yes;Yes;No;Yes;No;No;Yes
Invision Power Board;Yes;No;Discontinued;No;No;No;No
kusaba;Yes;No;No;No;No;No;No
MyBB;Yes;Yes;No;No;Yes;No;No
Phorum;Yes;No;No;No;No;No;No
phpBB;Yes;v8.2 or newer;Yes;Yes;Yes;Discontinued;No
PunBB;Yes;Yes;No;No;Yes;No;No
Simple Machines Forum;Yes;Yes;No;No;Yes;No;No
Syndie;Yes (HSQLDB);No;No;No;No;No;No
Thredded;Yes;Yes;No;No;Yes;No;No
Vanilla Forums;Yes;No;No;No;No;No;No
vBulletin;Yes;No;No;No;No;No;No
XenForo;Yes;No;No;No;No;No;No
