 ;Skrill ;Stripe ;PayPal Pro ;PayPal Payflow Link ;PayPal Payflow Pro ;Sage Pay Form ;Sage Pay Direct ;USAePay ;WorldPay ;Offline processing ;Offline methods 
 Apache OFBiz ; no ; no ; no ; no ; no ; no ; no ; no ; yes ; yes ; yes 
 Batavi ; no ; no ; no ; no ; no ; no ; no ; no ; no ; yes ; yes 
 Bigcommerce ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 Drupal Commerce ; yes ; yes ; yes ; yes ; yes ; no ; no ; yes ; no ; no ; no 
 KonaKart ; yes ; no ; no ; no ; yes ; no ; no ; yes ; yes ; yes ; yes 
 Magento ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; 3rd party ; yes ; yes ; yes 
 nopCommerce ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; 3rd party ; yes ; yes ; yes 
 osCommerce ; yes ; yes ; yes ; no ; no ; yes ; yes ; no ; no ; yes ; yes 
 pimcore ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no 
 PrestaShop ; yes ; yes ; yes ; no ; no ; no ; no ; no ; yes ; yes ; yes 
 Shopify ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 WooCommerce ; no ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes 
 Zen Cart ; yes ; yes ; yes ; no ; add-on ; no ; yes ; yes ; yes ; add-on ; yes 
 ;Skrill ;Stripe ;PayPal Pro ;PayPal Payflow Link ;PayPal Payflow Pro ;Sage Pay Form ;Sage Pay Direct ;USAePay ;WorldPay ;Offline processing ;Offline methods 
