 Server ; Authoritative ; Recursive ; Recursion ACL ; Secondary mode ; Caching ; DNSSEC ; TSIG ; IPv6 ; Wildcard ; Free Software ; Interface ; split horizon 
 BIG-IP DNS ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes  ; yes  ; no ; API, command line ; yes 
 BIND ; yes ; Yes ; yes ; Yes ; yes ; yes ; yes ; yes (since 9.x) ; yes (since 4.x) ; yes ; Webbind_web, command line ; yes 
 PowerDNS ; Yes ; Yes ; Yes ; Yespowerdns_sec6 ; Yes ; Yes (since 3.0) powerdns_dnssec ; Yes (since 3.0) ; Yespowerdns_sec6 ; Yes ; Yes ; REST, Webpowerdns_web, command line ; partialpowerdns_views 
 djbdns ; yes ; yes ; yes ; yesdjbsec ; yes ; partialdjbdns_dnssec ; no ; partial via generic records.  ; partialdjbdns_wild ; yes ; command line and web (VegaDNS & NicTool) ; yeslocations 
 dbndns ; yes ; yes ; yes ; yes ; yes ; no ; no ; yes ; partial ; yes ; command line and web ; yes 
 pdnsd ; partial ; yes ; partial ; partial ; yes ; no {{cite web ;url= ;title=pdns NEWS ;accessdate=2013-03-29 ;archive-url= ;archive-date=2013-06-25 ;url-status=dead }} "no support for the DNSSEC protocol itself yet in pdnsd" ; partial ; yes ; yes ; yes ; command line, pdnsd-ctl program ; partial 
 MaraDNS ; Yes ; Yes ; Yes ; partialmarasec ; yes ; no ; no ; partial ; yes ; yes ; command line ;  no  
 Posadis ; yes ; yes ; yes ; yes ; yes ; no ; no ; yes ; yes ; Yes ; command line, API ; no 
 Unbound ; partial ; yes ; yes ; n/a ; yes ; yes ; no ; yes ; yes ; yes ; command line, API ; yes 
 Dnsmasq ; partialmasqauth ; no ; no ; no ; yes ; yes (since 2.69) masqdnssec ; no ; yes ; yes ; yes ; command line ; partialmasqsplit  
 NSD ; Yes ; No ; n/a ; yes ; n/a ; yes ; yes ; yes ; yes ; Yes ; command line ; no 
 Knot DNS ; Yes ; No ; n/a ; yes ; n/a ; yes ; yes ; yes ; yes ; Yes ; command line ; Yesknotdns_modules 
 Knot Resolver ; no ; yes ; yes ; n/a ; yes ; yes ; no ; yes ; yes ; Yes ; command line and web ; no 
 YADIFA ; Yes ; No ; n/a ; Yes ; n/a ; Yes ; Yes ; Yes ; Yes ; Yes ; command line ; No 
 Microsoft DNS ; Yes ; Yes ; Yesmsdns_policies ; Yes ; Yes ; Yesmsdns_dnssec ; Yesmsdns_tsig ; Yesmsdns_ipv6 ; yes ; No ; GUI,command line, APImsdns_api, WMImsdns_wmi, RPCmsdns_rpc ; Yesmsdns_policies 
 Simple DNS Plus ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; No ; GUI, Web, command line ; yessdns_views 
 Secure64 DNS Authority ; yes ; no ; no ; yes ; no ; yes ; yes ; yes ; yes ; no ; Command Line or Web GUI ; yes 
 Secure64 DNS Cache ; no ; yes ; yes ; no ; yes ; yes ; no ; yes ; yes ; no ; Command Line or Web GUI ; yes 
 Server ; Authoritative ; Recursive ; Recursion ACL ; Secondary mode ; Caching ; DNSSEC ; TSIG ; IPv6 ; Wildcard ; Free Software ; Interface ; split horizon 
