Model4 ;Launch ;Code name ;Fab (nm) ;Transistors (million) ;Die size (mm2) ;Bus interface ;Clock rate ;Clock rate ;Core config1 ;Fillrate ;Fillrate ;Memory2 ;Memory2 ;Memory2 ;Memory2 ;Processing power(GFLOPS) ;Processing power(GFLOPS) ;TDP3 (Watts) ;TDP3 (Watts) ;Crossfire support ;API support (version) ;API support (version) ;API support (version) ;Release Price (USD) 
Model4 ;Launch ;Code name ;Fab (nm) ;Transistors (million) ;Die size (mm2) ;Bus interface ; Core (MHz) ; Memory (MHz) ;Core config1 ; Pixel (GP/s) ; Texture (GT/s) ; Size (MB) ; Bandwidth (GB/s) ; Bus type ; Bus width (bit) ; Single precision ; Double precision ; Idle ; Max. ;Crossfire support ; Direct3D ; OpenGL ; OpenCL ;Release Price (USD) 
rh|Radeon HD 4350 ;Sep 30, 2008 ;RV710 ;55 ;242 ;73 ;PCIe 2.0 ×16PCIe 2.0 ×1AGP 8× ;600 ;400650 ;80:8:4 ;2.40 ;4.80 ;2565121024 ;6.4010.4 ;DDR2DDR3 ;64 ;92.0 ;No ; ;20 ;rowspan="4" No ;10.1 ;3.3 ;1.0 ;? 
rh|Radeon HD 4550 ;Sep 30, 2008 ;RV710 ;55 ;242 ;73 ;PCIe 2.0 ×16 ;600 ;655800 ;80:8:4 ;2.40 ;4.80 ;2565121024 ;10.512.8 ;DDR2DDR3 ;64 ;96.0 ;No ; ;25 ;10.1 ;3.3 ;1.0 ;? 
rh|Radeon HD 4570 ;Nov 25, 2008 ;RV710 ;55 ;242 ;73 ;PCIe 2.0 ×16 ;650 ;500 ;80:8:4 ;2.60 ;5.20 ;1024 ;8.00 ;DDR2 ;64 ;104.0 ;No ; ;25 ;10.1 ;3.3 ;1.0 ;? 
rh|Radeon HD 4580 ;Nov 20, 2011 ;RV635 PRO ;55 ;378 ;135 ;PCIe 2.0 ×16 ;796 ;693 ;120:8:4 ;3.18 ;6.37 ;512 ;22.2 ;GDDR3 ;128 ;191.0 ;No ; ;65 ;10.1 ;3.3 ;1.0 ;? 
rh|Radeon HD 4650 ;Sep 10, 2008 ;RV730 PRO ;55 ;514 ;146 ;PCIe 2.0 ×16AGP 8× ;600650 ;400 - 500500700 ;320:32:8 ;4.805.20 ;19.220.8 ;2565121024 ;12.8 - 16.016.022.4 ;DDR2GDDR3GDDR4 ;64128 ;384.0416.0 ;No ; ;48 ; 2-Way Crossfire ;10.1 ;3.3 ;1.0 ;? 
rh|Radeon HD 4670 ;Sep 10, 2008 ;RV730 XT ;55 ;514 ;146 ;PCIe 2.0 ×16AGP 8× ;750 ;400 - 5009001000 ;320:32:8 ;6.00 ;24.0 ;5121024 ;12.8 - 16.028.832.0 ;DDR2GDDR3GDDR4 ;128 ;480.0 ;No ; ;59 ; 2-Way Crossfire ;10.1 ;3.3 ;1.0 ;$79 
rh|Radeon HD 4730 ;Jun 8, 2009 ;RV770 CE ;55 ;956 ;256 ;PCIe 2.0 ×16 ;700750 ;900 ;640:32:8 ;5.606.00 ;22.424.0 ;512 ;57.6 ;GDDR5 ;128 ;896.0960.0 ;179.2192.0 ; ;110 ; 2-Way Crossfire ;10.1 ;3.3 ;1.0 ;? 
rh|Radeon HD 4750 ;Sep 9, 2009 ;RV740 ;40 ;826 ;137 ;PCIe 2.0 ×16 ;730 ;800 ;640:32:16 ;11.7 ;23.4 ;512 ;51.2 ;GDDR5 ;128 ;934.4 ;Yes ; ;80 ; 2-Way Crossfire ;10.1 ;3.3 ;1.0 ;? 
rh|Radeon HD 4770 ;Apr 28, 2009 ;RV740 ;40 ;826 ;137 ;PCIe 2.0 ×16 ;750 ;800 ;640:32:16 ;12.0 ;24.0 ;512 ;51.2 ;GDDR5 ;128 ;960.0 ;192.0 ; ;80 ; 2-Way Crossfire ;10.1 ;3.3 ;1.0 ;$109 
rh|Radeon HD 4810 ;May 28, 2009 ;RV770 CE ;55 ;956 ;256 ;PCIe 2.0 ×16 ;625750 ;900 ;640:32:8 ;5.006.00 ;20.024.0 ;512 ;57.6 ;GDDR5 ;128 ;800.0960.0 ;160.0192.0 ; ;95 ; 2-Way Crossfire ;10.1 ;3.3 ;1.0 ;? 
