 Name ; Developer ; Status ; First release ; Latest release ; Current version ; Based on ; License ; Source available 
rh| AbsoluteTelnet ; Celestial Software (Brian Pence) ; site active ; 1996 ; 2016-10-12 ; 10.16 ; ; Proprietary ; no 
rh| Bitvise SSH Client ; Bitvise Limited ; site active ; 2001 ; 2020-05-22 ; 8.43{{Cite web|title=Bitvise SSH Client Version History ! Bitvise|url= ; ; Proprietary ; no 
rh| ConnectBot ; Kenny Root / Jeffrey Sharkey ; site active ; 2007-11 ; 2019-11-12 ; 1.9.6 https://github.com/connectbot/connectbot ; Trilead SSH-2 for Java ; Apache ; yes 
rh| CRAX Commander ;Soft4U2 Marcin Słowik ; site active ; 2013-09 ; 2015-12-01 ; 1.10.6 ; libSSH2 ; Proprietary ; yes 
rh| Dropbear ; Matt Johnston ; site active ; 2003-04-06 ; 2017-05-18 ; 2017.75 ; ;MIT ; yes 
rh| eSSH Client ; Ecode Software ; site inactive ; 2002-07 ; ; ; ; Proprietary ; no 
rh| lsh ; Niels Möller ; site active ; 1999-05-23 ; 2013-06-26 ; 2.1 ; ; GPL ; yes 
rh| OpenSSH (OpenBSD Secure Shell) ; The OpenBSD project ; site active ; 1999-12-01 ; 2020-05-27 ; 8.3 ; ossh ; BSD ; yes 
rh| PuTTY ; Simon Tatham ; site active ; 1999-01-22 ; 2020-06-27 ; 0.74 ; ; MIT ; yes 
rh| SecureCRT ; VanDyke Software ; site active ; 1998-06 ; 2020-02-11 ; 8.7.0 ; ; Proprietary ; no 
rh| Tera Term ; TeraTerm Project ; site active ; 2004 ; 2018-08-31 ; 4.100 ; Tera Term Pro 2.3 (1994–1998) ; BSD ; yes 
rh| TN3270 Plus ; SDI USA, Inc. ; site active ; 2006 ; ; ; ; Proprietary ; No 
rh| TtyEmulator ; FCS Software ; site active ; 2002-05 ; ; ; ; Proprietary ; no 
 rh| wolfSSH ; wolfSSL ; site active ; 2016-07-20 ; 2019-10-31 ; 1.4.3 ; wolfCrypt  ;  GPL or Commercial Distribution ; Yes 
rh| ZOC Terminal ; EmTec, Innovative Software ; site active ; 1995-07-01 ; 2020-01-09 ; 7.26.1 ; ; Proprietary ; no 
