Network Name ; Location ; Founded ; Status 
 24/7 Open AdStream  ; New York, NY ; 1997{{cite news ; title       = 24/7 Media ; first       =  ; last        =  ; url         =  ; newspaper   =  ; publisher   = 24/7 Media ; date        =  ; accessdate  = 2013-11-08 }} ; Active 
 AdBrite ; San Francisco ; 2002 ; Defunct 
 Adcash  ; Tallinn, Estonia ; 2007 ; Active 
Atlas Solutions ;USA ;2001 ;Active 
 Bing Ads ; Seattle ; 2006 ; Active 
 Adform ; Copenhagen, Denmark ; 2002 ; Active 
 AdTaily  ; London, UK ; 2010 ; Active 
 Advertising.com  ; Baltimore, Maryland ; 1998{{cite news ; title       = Advertising.com ; first       =  ; last       =  ; url       =  ; newspaper       =  ; publisher       = Advertising.com ; date       =  ; accessdate       = August 13, 2015 ; archive-url       =  ; archive-date       = August 18, 2015 ; url-status       = dead }} ; Active 
 AdWords ; Ann Arbor, Michigan ; 2000 ; Active 
 BlueLithium ; San Jose, California ; 2004 ; Defunctlanguage=en-US 
 Chitika ; Westborough, Massachusetts ; 2003 ; Active 
 Criteo ; France ; 2005 ; Active 
 DoubleClick ; Chicago ; 1998 ; Active 
 Baidu ; Beijing, China ; 2000 ; Active 
 ExoClick ; Barcelona, Spain ; 2006 ; Active 
 Right Media ; New York ; 2004 ; Active 
Rocket Fuel ;Redwood City, California ;2008 ;Active 
 ValueClick ; Westlake Village, California ; 1998 ; Active 
 Yahoo! Publisher Network ; Sunnyvale, California ; 2005 ; Defunct  
 Yashi ; Toms River, New Jersey ; 2007 ; Active	  	 
 Zedo ; San Francisco ; 1999 ; Active 
