Software ; Data Synergy PowerMAN{{cite web|author=Data Synergy|title=PowerMAN/PowerMON Installation and Administration Guide|url= ; EMCO Software Remote Shutdown{{cite web|author=Emco|title=EMCO Remote Shutdown - Feature List|url= ; Energy Star EZ GPO{{cite web|author=Terra Novum|title=EZ GPO Features|url= ; Faronics Power Save{{cite web|author=Faronics|title=Faronics Power Save Key Features |url= ; Verdiem Surveyor{{cite web|author=Verdiem Corporation|title=Surveyor Data Sheet |url= 
 License ; Proprietary ; Proprietary ; Free ; Proprietary ; Proprietary 
 64-bit Support ; yes ; no ; no ; yes ; yes 
 Active Directory Integration ; yes ; no ; no ; yes ; yes 
 Group Policy Configuration Support ; yes ; no ; yes ; no ; no 
 Per-user Policy ; yes ; no ; no ; yes ; yes 
 Per-machine Policy ; yes ; no ; yes ; yes ; yes 
 Anti-insomnia ; yes ; yes ; no ; yes ; yes 
 Sleep on idle ; yes ; yes ; yes ; yes ; yes 
 Hibernate on idle ; yes ; yes ; yes ; yes ; yes 
 Power-off on idle ; yes ; yes ; no ; yes ; yes 
 Logout on idle ; yes ; yes ; no ; yes ; no 
 Standby display on idle ; yes ; no ; yes ; yes ; no 
 Scheduled Sleep/Hibernate ; yes ; yes ; no ; yes ; yes 
 Scheduled power-off ; yes ; yes ; no ; yes ; yes 
 Scheduled Reboot ; yes ; no ; no ; yes ; yes 
 Scheduled wake-up (without WoL) ; yes ; no ; no ; yes ; yes 
 Remote wake-up (with WoL) ; yes ; no ; no ; yes ; yes 
